time_iso8601,stars_cumulative
2023-03-16 00:00:00+00:00,2
2023-03-17 00:00:00+00:00,10
2023-03-18 00:00:00+00:00,12
2023-03-19 00:00:00+00:00,16
2023-03-20 00:00:00+00:00,18
2023-03-21 00:00:00+00:00,20
2023-03-22 00:00:00+00:00,23
2023-03-25 00:00:00+00:00,25
2023-03-26 00:00:00+00:00,26
2023-03-27 00:00:00+00:00,29
2023-03-28 00:00:00+00:00,45
2023-03-29 00:00:00+00:00,68
2023-03-30 00:00:00+00:00,96
2023-03-31 00:00:00+00:00,105
2023-04-01 00:00:00+00:00,191
2023-04-02 00:00:00+00:00,1646
2023-04-03 00:00:00+00:00,4752
2023-04-04 00:00:00+00:00,7418
2023-04-05 00:00:00+00:00,9793
2023-04-06 00:00:00+00:00,12514
2023-04-07 00:00:00+00:00,14983
2023-04-08 00:00:00+00:00,16689
2023-04-09 00:00:00+00:00,18394
2023-04-10 00:00:00+00:00,20932
2023-04-11 00:00:00+00:00,24956
2023-04-12 00:00:00+00:00,32862
2023-04-13 00:00:00+00:00,40000
2023-10-03 00:00:00+00:00,149829
2023-10-05 00:00:00+00:00,149958
2023-10-06 00:00:00+00:00,149998
2023-10-07 00:00:00+00:00,150054
2023-10-08 00:00:00+00:00,150111
2023-10-09 00:00:00+00:00,150204
2023-10-10 00:00:00+00:00,150339
2023-10-11 00:00:00+00:00,150475
2023-10-12 00:00:00+00:00,150552
2023-10-13 00:00:00+00:00,150618
2023-10-14 00:00:00+00:00,150681
2023-10-15 00:00:00+00:00,150745
2023-10-16 00:00:00+00:00,150829
2023-10-17 00:00:00+00:00,150895
2023-10-18 00:00:00+00:00,150979
2023-10-19 00:00:00+00:00,151052
2023-10-20 00:00:00+00:00,151127
2023-10-21 00:00:00+00:00,151183
2023-10-22 00:00:00+00:00,151231
2023-10-23 00:00:00+00:00,151428
2023-10-24 00:00:00+00:00,151586
2023-10-25 00:00:00+00:00,151723
2023-10-26 00:00:00+00:00,151816
2023-10-27 00:00:00+00:00,151882
2023-10-28 00:00:00+00:00,151936
2023-10-29 00:00:00+00:00,151991
2023-10-30 00:00:00+00:00,152061
2023-10-31 00:00:00+00:00,152137
2023-11-01 00:00:00+00:00,152220
2023-11-02 00:00:00+00:00,152289
2023-11-05 00:00:00+00:00,152442
2023-11-06 00:00:00+00:00,152517
2023-11-07 00:00:00+00:00,152588
2023-11-08 00:00:00+00:00,152656
2023-11-09 00:00:00+00:00,152728
2023-11-10 00:00:00+00:00,152787
2023-11-11 00:00:00+00:00,152835
2023-11-12 00:00:00+00:00,152882
2023-11-13 00:00:00+00:00,152958
2023-11-15 00:00:00+00:00,153105
2023-11-16 00:00:00+00:00,153173
2023-11-17 00:00:00+00:00,153257
2023-11-18 00:00:00+00:00,153294
2023-11-19 00:00:00+00:00,153335
2023-11-20 00:00:00+00:00,153430
2023-11-21 00:00:00+00:00,153510
2023-11-22 00:00:00+00:00,153579
2023-11-23 00:00:00+00:00,153650
2023-11-24 00:00:00+00:00,153721
2023-11-25 00:00:00+00:00,153764
2023-11-26 00:00:00+00:00,153813
2023-11-27 00:00:00+00:00,153864
2023-11-28 00:00:00+00:00,153942
2023-11-29 00:00:00+00:00,154006
2023-11-30 00:00:00+00:00,154079
2023-12-01 00:00:00+00:00,154140
2023-12-03 00:00:00+00:00,154242
2023-12-05 00:00:00+00:00,154398
2023-12-06 00:00:00+00:00,154477
2023-12-07 00:00:00+00:00,154539
