time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-09 00:00:00+00:00,705,290,8951,3144
2023-09-10 00:00:00+00:00,730,326,9224,3380
2023-09-11 00:00:00+00:00,797,376,13188,4957
2023-09-12 00:00:00+00:00,1367,453,18644,5326
2023-09-13 00:00:00+00:00,966,393,21977,5489
2023-09-14 00:00:00+00:00,1301,392,20522,5157
2023-09-15 00:00:00+00:00,1694,377,17672,4644
2023-09-16 00:00:00+00:00,1372,367,13370,3112
2023-09-17 00:00:00+00:00,1185,358,17007,3549
2023-09-18 00:00:00+00:00,1435,477,22457,5186
2023-09-19 00:00:00+00:00,1099,456,20116,5239
2023-09-20 00:00:00+00:00,1487,463,20147,4816
2023-09-21 00:00:00+00:00,1502,422,18836,4683
2023-09-22 00:00:00+00:00,1618,435,17779,4274
2023-09-23 00:00:00+00:00,715,364,12562,3014
2023-09-24 00:00:00+00:00,621,365,13453,2929
2023-09-25 00:00:00+00:00,893,405,19804,4991
2023-09-26 00:00:00+00:00,1364,533,21637,5230
2023-09-27 00:00:00+00:00,1240,476,20575,4733
2023-09-28 00:00:00+00:00,1463,513,19571,4597
2023-09-29 00:00:00+00:00,1604,421,17447,4119
2023-09-30 00:00:00+00:00,641,334,15885,2937
2023-10-01 00:00:00+00:00,1061,326,16663,2950
2023-10-02 00:00:00+00:00,1272,411,16722,4097
2023-10-03 00:00:00+00:00,1238,412,17801,4307
2023-10-04 00:00:00+00:00,1076,526,17168,4357
2023-10-05 00:00:00+00:00,898,454,16764,4578
2023-10-06 00:00:00+00:00,1101,389,16154,3782
2023-10-07 00:00:00+00:00,895,357,15157,3365
2023-10-08 00:00:00+00:00,665,350,15042,3554
2023-10-09 00:00:00+00:00,950,456,17753,4569
2023-10-10 00:00:00+00:00,574,398,20372,5326
2023-10-11 00:00:00+00:00,753,488,19612,5328
2023-10-12 00:00:00+00:00,639,405,16730,4460
2023-10-13 00:00:00+00:00,485,332,16728,4195
2023-10-14 00:00:00+00:00,603,312,12020,2929
2023-10-15 00:00:00+00:00,405,280,10608,2787
2023-10-16 00:00:00+00:00,1270,435,18296,4784
2023-10-17 00:00:00+00:00,1162,552,17908,4826
2023-10-18 00:00:00+00:00,1122,496,18378,4880
2023-10-19 00:00:00+00:00,2768,640,19620,4858
2023-10-20 00:00:00+00:00,1547,497,17416,4340
2023-10-21 00:00:00+00:00,664,364,11420,2855
2023-10-22 00:00:00+00:00,612,364,12704,2859
2023-10-23 00:00:00+00:00,1058,552,21568,5365
2023-10-24 00:00:00+00:00,768,566,21129,5338
2023-10-25 00:00:00+00:00,720,501,20423,5406
2023-10-26 00:00:00+00:00,2280,643,20554,4890
2023-10-27 00:00:00+00:00,1052,518,16226,4142
2023-10-28 00:00:00+00:00,581,398,9780,2703
2023-10-29 00:00:00+00:00,541,406,11266,2605
2023-10-30 00:00:00+00:00,799,522,16263,4348
2023-10-31 00:00:00+00:00,849,595,15675,4274
2023-11-01 00:00:00+00:00,892,581,17089,4382
2023-11-02 00:00:00+00:00,821,601,17050,4299
2023-11-03 00:00:00+00:00,2237,621,14580,3913
2023-11-04 00:00:00+00:00,679,492,11021,2460
2023-11-05 00:00:00+00:00,603,436,11346,2648
2023-11-06 00:00:00+00:00,894,549,16144,4258
2023-11-07 00:00:00+00:00,1147,688,16402,4390
2023-11-08 00:00:00+00:00,854,598,16442,4901
2023-11-09 00:00:00+00:00,735,557,16088,4597
2023-11-10 00:00:00+00:00,695,573,14112,3940
2023-11-11 00:00:00+00:00,611,442,10554,2555
2023-11-12 00:00:00+00:00,594,424,10125,2545
2023-11-13 00:00:00+00:00,720,540,15242,4046
2023-11-14 00:00:00+00:00,712,537,15104,4219
2023-11-15 00:00:00+00:00,746,569,14924,4046
2023-11-16 00:00:00+00:00,994,561,14763,4134
2023-11-17 00:00:00+00:00,680,508,13393,3412
2023-11-18 00:00:00+00:00,611,458,10303,2382
2023-11-19 00:00:00+00:00,597,470,10673,2950
2023-11-20 00:00:00+00:00,647,470,15575,4290
2023-11-21 00:00:00+00:00,907,635,15602,4250
2023-11-22 00:00:00+00:00,852,577,14534,3989
2023-11-23 00:00:00+00:00,954,549,14277,3732
2023-11-24 00:00:00+00:00,1070,556,11466,3428
2023-11-25 00:00:00+00:00,720,473,7646,2236
2023-11-26 00:00:00+00:00,694,515,8568,2394
2023-11-27 00:00:00+00:00,822,607,12460,3751
2023-11-28 00:00:00+00:00,937,697,13033,3769
2023-11-29 00:00:00+00:00,769,566,12743,3683
2023-11-30 00:00:00+00:00,1219,705,12146,3906
2023-12-01 00:00:00+00:00,1051,609,11241,3444
2023-12-02 00:00:00+00:00,1107,558,8426,2401
2023-12-03 00:00:00+00:00,1035,603,8687,2641
2023-12-04 00:00:00+00:00,1042,695,13126,3788
2023-12-05 00:00:00+00:00,1457,748,14757,3961
2023-12-06 00:00:00+00:00,1111,679,13144,4053
2023-12-07 00:00:00+00:00,1216,767,13629,3683
2023-12-08 00:00:00+00:00,1250,681,10553,3360
2023-12-09 00:00:00+00:00,816,560,7962,2239
2023-12-10 00:00:00+00:00,920,565,7808,2245
2023-12-11 00:00:00+00:00,1146,751,11922,3701
2023-12-12 00:00:00+00:00,981,647,11474,3886
2023-12-13 00:00:00+00:00,1324,721,13527,3866
2023-12-14 00:00:00+00:00,1448,940,12293,4399
2023-12-15 00:00:00+00:00,969,684,10786,3521
2023-12-16 00:00:00+00:00,799,594,7415,2248
2023-12-17 00:00:00+00:00,789,571,7580,2189
2023-12-18 00:00:00+00:00,1198,842,10252,3515
2024-01-01 00:00:00+00:00,120,86,2169,711
2024-01-02 00:00:00+00:00,990,695,11667,3386
2024-01-03 00:00:00+00:00,836,666,11071,3509
2024-01-04 00:00:00+00:00,1255,929,10592,3386
