time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-09 00:00:00+00:00,705,290,8951,3144
2023-09-10 00:00:00+00:00,730,326,9224,3380
2023-09-11 00:00:00+00:00,797,376,13188,4957
2023-09-12 00:00:00+00:00,1367,453,18644,5326
2023-09-13 00:00:00+00:00,966,393,21977,5489
2023-09-14 00:00:00+00:00,1301,392,20522,5157
2023-09-15 00:00:00+00:00,1694,377,17672,4644
2023-09-16 00:00:00+00:00,1372,367,13370,3112
2023-09-17 00:00:00+00:00,1185,358,17007,3549
2023-09-18 00:00:00+00:00,1435,477,22457,5186
2023-09-19 00:00:00+00:00,1099,456,20116,5239
2023-09-20 00:00:00+00:00,1487,463,20147,4816
2023-09-21 00:00:00+00:00,1502,422,18836,4683
2023-09-22 00:00:00+00:00,1618,435,17779,4274
2023-09-23 00:00:00+00:00,715,364,12562,3014
2023-09-24 00:00:00+00:00,621,365,13453,2929
2023-09-25 00:00:00+00:00,893,405,19804,4991
2023-09-26 00:00:00+00:00,1364,533,21637,5230
2023-09-27 00:00:00+00:00,1240,476,20575,4733
2023-09-28 00:00:00+00:00,1463,513,19571,4597
2023-09-29 00:00:00+00:00,1604,421,17447,4119
2023-09-30 00:00:00+00:00,641,334,15885,2937
2023-10-01 00:00:00+00:00,1061,326,16663,2950
2023-10-02 00:00:00+00:00,1272,411,16722,4097
2023-10-03 00:00:00+00:00,1238,412,17801,4307
2023-10-04 00:00:00+00:00,1076,526,17168,4357
2023-10-05 00:00:00+00:00,898,454,16764,4578
2023-10-06 00:00:00+00:00,1101,389,16154,3782
2023-10-07 00:00:00+00:00,895,357,15157,3365
2023-10-08 00:00:00+00:00,665,350,15042,3554
2023-10-09 00:00:00+00:00,950,456,17753,4569
2023-10-10 00:00:00+00:00,574,398,20372,5326
2023-10-11 00:00:00+00:00,753,488,19612,5328
2023-10-12 00:00:00+00:00,639,405,16730,4460
2023-10-13 00:00:00+00:00,485,332,16728,4195
2023-10-14 00:00:00+00:00,603,312,12020,2929
2023-10-15 00:00:00+00:00,405,280,10608,2787
2023-10-16 00:00:00+00:00,1270,435,18296,4784
2023-10-17 00:00:00+00:00,1162,552,17908,4826
2023-10-18 00:00:00+00:00,1122,496,18378,4880
2023-10-19 00:00:00+00:00,2729,607,18510,4559
